stream,shard_seed,iteration,global_iteration_id,percentile_inclusion,rng_key,status,converged,failure_reason,pooling_status,git_commit,input_file_sha256,software_versions
shard0,366001,22,30,included_final_1000,"(366001, 22)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,23,31,included_final_1000,"(366001, 23)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,24,32,included_final_1000,"(366001, 24)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,25,33,included_final_1000,"(366001, 25)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,26,34,included_final_1000,"(366001, 26)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,27,35,included_final_1000,"(366001, 27)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,28,36,included_final_1000,"(366001, 28)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,29,37,included_final_1000,"(366001, 29)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,30,38,included_final_1000,"(366001, 30)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,31,39,included_final_1000,"(366001, 31)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,32,40,included_final_1000,"(366001, 32)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,33,41,included_final_1000,"(366001, 33)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,34,42,included_final_1000,"(366001, 34)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,35,43,included_final_1000,"(366001, 35)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,36,44,included_final_1000,"(366001, 36)",completed,True,,pooled (real draws),81e9437bee81301cf598ccadda508c9ac9305bf4,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
