task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),49,3,sum,13.16305189570725,15.018799917303175,8.644551721438162,0.7301122632960453,27.61865661243613,12,12,0,0,1.0,,,12,0,0.5409464745545848
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,0,3,sum,12.478730775784356,9.934221272995647,10.144771469511328,1.105344227246083,29.37657305537462,12,12,0,0,1.0,,,12,0,0.41482525679354293
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,1,3,sum,11.98360932599005,10.744497185701444,8.991052010492371,2.089665244573648,38.41291321587102,12,12,0,0,1.0,,,12,0,0.4370037968635851
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,2,3,sum,11.287577400363524,11.701614550018704,7.010707910293038,0.3012854530626221,23.12353740307824,12,12,0,0,1.0,,,12,0,0.3710784193104036
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,3,3,sum,15.215360995779577,11.558874002826927,13.30349189438342,1.9690840634454783,43.45736854644106,12,12,0,0,1.0,,,12,0,0.5585472661118881
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,4,3,sum,20.88765011523652,24.705865797658507,9.140573372872726,0.6550749165491657,30.400180326443017,12,12,0,0,1.0,,,12,0,0.7489997009742707
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,5,3,sum,16.504676743950444,14.002008402314498,8.861602391774538,2.2484349545791944,35.182878336496955,12,12,0,0,1.0,,,12,0,0.6001572476869069
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,6,3,sum,15.969589001622692,9.848646574414307,12.722660846141915,1.971715032455822,39.722100166427545,12,12,0,0,1.0,,,12,0,0.6369544698846233
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,7,3,sum,14.608304968799496,7.036975839868231,15.492935160432028,0.6949366662409004,46.864715817658485,12,12,0,0,1.0,,,12,0,0.4761403235135761
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,8,3,sum,16.456541349216554,15.330259186901664,9.881035938722311,4.6490573731526075,34.52923600881848,12,12,0,0,1.0,,,12,0,0.5986968367219908
