config_id,config_name,config_label,seed,L,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,mean_abs_grad
2,entanglement_only,Constrained entanglement only,15,3,11.734220400479765,12.53635058692663,7.400145461594086,0.022131298684922036,31.176877376212996,12,12,0.46206754997691585
2,entanglement_only,Constrained entanglement only,16,3,12.744335408941126,6.8676067830613095,10.180928027222551,2.302511945369761,27.56755357797609,12,12,0.5251311233866142
2,entanglement_only,Constrained entanglement only,17,3,11.573763607903976,9.611546166396085,7.9968875994003215,0.8520556561407838,24.052652579008832,12,12,0.4319954683187137
2,entanglement_only,Constrained entanglement only,18,3,13.196268561258305,10.182406682017104,11.926504694512348,0.0017640128426971342,37.8411668974155,12,12,0.502349363500395
2,entanglement_only,Constrained entanglement only,19,3,12.139355965573316,9.453011606585438,6.850079416059772,3.0252911298890943,29.197773210401337,12,12,0.5282432019326831
2,entanglement_only,Constrained entanglement only,20,3,12.010864432643304,5.892839421445571,10.55624259924111,1.5717364332834227,30.59555615906202,12,12,0.4339141435427399
2,entanglement_only,Constrained entanglement only,21,3,8.55321038927814,8.308210458509722,7.002320422346921,0.37186764667823263,24.978743429757603,12,12,0.26977943032882684
2,entanglement_only,Constrained entanglement only,22,3,13.361257921758037,13.155188244206078,5.6882861304852375,1.9111458633032434,23.96025177871524,12,12,0.4883075105628296
2,entanglement_only,Constrained entanglement only,23,3,14.563573714688458,10.777817508111202,8.97377804262788,2.3999366494654053,29.171520956212245,12,12,0.49002834525970274
2,entanglement_only,Constrained entanglement only,24,3,12.50270984420488,13.197123625827071,3.1183921314878713,6.3570176066263056,16.025377828921528,12,12,0.40252587072715573
2,entanglement_only,Constrained entanglement only,25,3,20.007995021146858,12.323021731095743,15.87489110365447,1.4937286532163256,48.35400119927694,12,12,0.7386853159007202
2,entanglement_only,Constrained entanglement only,26,3,16.563841323967207,16.4705933309114,5.268297541852913,7.685126671841925,29.389235020204396,12,12,0.6232091483468818
2,entanglement_only,Constrained entanglement only,27,3,18.033442997510022,16.80476908855313,9.71528319084017,2.8473984595197415,36.047309759553144,12,12,0.5185281556673543
2,entanglement_only,Constrained entanglement only,28,3,11.34837186452713,9.807354149975108,6.365802455953693,1.1793020656767204,19.285551383972436,12,12,0.4592812908806619
2,entanglement_only,Constrained entanglement only,29,3,13.985563445332131,10.891939468495043,8.815743663538392,1.6884114448519332,27.05760221211264,12,12,0.4955180841566113
2,entanglement_only,Constrained entanglement only,30,3,19.554066636248397,22.624245628779377,10.929159243402609,0.7303359404551686,36.118171063746104,12,12,0.8434844666342047
2,entanglement_only,Constrained entanglement only,31,3,10.981748112346269,10.545910320431041,6.53534369791261,0.4353036442204207,27.47796193960141,12,12,0.42642995514064297
2,entanglement_only,Constrained entanglement only,32,3,11.888576329700816,7.801283504036311,7.985580614528389,2.930328350699198,25.031801102504527,12,12,0.46184273482716337
2,entanglement_only,Constrained entanglement only,33,3,15.675084942600279,10.44138317638274,12.826655956140787,3.578820693102477,39.63125644000989,12,12,0.5415133431790474
2,entanglement_only,Constrained entanglement only,34,3,17.55296460080555,14.990726204785002,14.323849749649973,1.3787876455667225,57.87426333422309,12,12,0.6341853988747282
2,entanglement_only,Constrained entanglement only,35,3,8.739107238588206,8.507517293982533,4.430086868387466,2.351031095365504,14.925578822260915,12,12,0.3496472224153507
2,entanglement_only,Constrained entanglement only,36,3,14.947120012709206,14.91480191932582,10.564065254652103,2.682352907078604,43.662794688577314,12,12,0.6449028294357146
2,entanglement_only,Constrained entanglement only,37,3,11.763763452844474,12.447096442642323,4.560525061041427,4.122594193768172,21.132075876493655,12,12,0.41554298321669636
2,entanglement_only,Constrained entanglement only,38,3,12.819353215631986,10.790710192572197,10.997183192703526,0.47751251265638617,35.37625899279766,12,12,0.4523935758987774
2,entanglement_only,Constrained entanglement only,39,3,17.808232389498848,14.868731485605263,10.957574009554437,4.497517942361783,36.27050307180609,12,12,0.6872678523677322
2,entanglement_only,Constrained entanglement only,40,3,11.597326026120257,12.239562450596418,8.262582664314507,0.09871812483534703,25.519020742614547,12,12,0.41044573452690153
2,entanglement_only,Constrained entanglement only,41,3,14.343480288274264,12.06800122478459,11.086566862651566,0.1239079328461396,31.26476315391174,12,12,0.542965497864705
2,entanglement_only,Constrained entanglement only,42,3,13.755747406807211,9.744725125643363,9.518424515440731,3.5760667233103725,27.187166201610818,12,12,0.5229652983411922
2,entanglement_only,Constrained entanglement only,43,3,11.572361466426798,10.448919528374871,10.797655898488646,0.07274975411777528,40.90858202463466,12,12,0.3743594887985184
2,entanglement_only,Constrained entanglement only,44,3,15.890722571072649,12.324187641268633,15.195323574630429,0.40987991718232536,52.706833289060235,12,12,0.5074677411589773
2,entanglement_only,Constrained entanglement only,45,3,17.390469477429512,14.739279964468095,12.648814772970992,2.9789664912498526,42.77784722594565,12,12,0.6717586730906238
2,entanglement_only,Constrained entanglement only,46,3,13.799964911724208,14.819207176664111,7.153702905514612,2.132338979903104,23.356758026625183,12,12,0.5461269876384172
2,entanglement_only,Constrained entanglement only,47,3,15.791003975088358,15.104262511365294,9.054598628202124,0.8737344327092287,29.27807289587789,12,12,0.49494174234492244
2,entanglement_only,Constrained entanglement only,48,3,18.277450957421774,20.176216469617657,9.402414606024609,2.787679553739568,29.879328054604557,12,12,0.6967912772369029
2,entanglement_only,Constrained entanglement only,49,3,11.170589124217882,8.793883969229178,9.250041855785105,0.14503616038370007,28.04133402202489,12,12,0.40735707491832013
3,local_cost_only,Local cost function only,0,3,6.764786120138105,4.076951095219552,7.335791457316315,1.2432220538980504e-15,23.919487465455987,12,12,0.1423496575419592
3,local_cost_only,Local cost function only,1,3,9.846255666402788,1.7967960144415864,22.705592320202108,0.0,83.45941407294114,12,12,0.13316780468058473
3,local_cost_only,Local cost function only,2,3,13.95097140533757,2.27002861868949,21.737049514597327,0.0,70.1423859560843,12,12,0.21329743882465446
3,local_cost_only,Local cost function only,3,3,8.954200599331235,6.502880123369417,9.408027843825316,0.0,27.989314738761344,12,12,0.18073997217037274
3,local_cost_only,Local cost function only,4,3,11.29432006621868,3.264298526211933,17.329440362867295,1.3413580751171663e-15,53.19155968099896,12,12,0.1871631741564003
3,local_cost_only,Local cost function only,5,3,13.795030061066432,0.2538534206669463,29.96132186703485,0.0,107.02909212549758,12,12,0.1682876842251367
3,local_cost_only,Local cost function only,6,3,11.876402351361326,6.018711894218259,14.738487346096985,0.0,44.194666181982555,12,12,0.21370720541130614
3,local_cost_only,Local cost function only,7,3,7.974267053748221,2.2736345515745713,12.426455261010826,0.0,42.07171951269049,12,12,0.14564832465736624
3,local_cost_only,Local cost function only,8,3,3.484531989618868,2.257682379958207,3.6016333596980625,0.0,10.5377863187892,12,12,0.06934910130145766
3,local_cost_only,Local cost function only,9,3,12.88452062120046,6.24789790550081,20.426581244902717,1.2418718396996452e-15,76.43322850017184,12,12,0.20666336435972266
3,local_cost_only,Local cost function only,10,3,5.8625729046598565,4.596101880342715,6.180751574581502,0.0,18.71353528884335,12,12,0.11957952579656476
3,local_cost_only,Local cost function only,11,3,7.851335834156135,6.649192126789139,9.05200075434723,0.0,33.83266522061688,12,12,0.15561461006375935
3,local_cost_only,Local cost function only,12,3,14.500511536172304,5.408114394499782,19.841890771396553,0.0,63.60189074831352,12,12,0.23560925802749177
3,local_cost_only,Local cost function only,13,3,8.41100610574576,1.041755232821354,11.242010075633459,0.0,29.17426332102996,12,12,0.1602010611545219
3,local_cost_only,Local cost function only,14,3,23.336179316287442,1.707424079134551,57.08405618072846,0.0,210.35923312072552,12,12,0.19778050153809237
3,local_cost_only,Local cost function only,15,3,13.23780959596734,5.336744362388768,14.904081228732325,0.0,41.01430634289036,12,12,0.2410384957473983
3,local_cost_only,Local cost function only,16,3,8.597371959367303,6.79979004977602,9.277831849150278,0.0,29.518449262243756,12,12,0.1741222147222913
3,local_cost_only,Local cost function only,17,3,7.328012906936148,3.916084799467736,8.732542719008299,3.1205030058824703e-16,28.716900329844254,12,12,0.14996951466470862
3,local_cost_only,Local cost function only,18,3,8.385032440537644,5.641240491780239,8.984664125588504,0.0,26.06946459142549,12,12,0.1666075078063319
3,local_cost_only,Local cost function only,19,3,9.366734849696499,6.153822332828382,10.942277254858785,0.0,36.35661550223282,12,12,0.18048393918530145
3,local_cost_only,Local cost function only,20,3,4.756312188449276,5.841433138337052,3.8803435859163606,0.0,11.770994704192848,12,12,0.08386368454124545
3,local_cost_only,Local cost function only,21,3,9.713857207703835,4.022435755311914,12.831930066987933,3.103219029168533e-16,41.616347311410266,12,12,0.1821123910863627
3,local_cost_only,Local cost function only,22,3,12.443449019158399,1.6730267202465843,28.125157789031746,6.256630226141769e-16,102.83645204611872,12,12,0.1552907613627982
3,local_cost_only,Local cost function only,23,3,12.620965238155582,2.8623695901041755,15.38206226892094,0.0,48.22194302687412,12,12,0.22394902676201514
3,local_cost_only,Local cost function only,24,3,8.631587950843915,2.2389427576217447,11.132500064020483,0.0,34.98840294860835,12,12,0.16201959847480693
3,local_cost_only,Local cost function only,25,3,9.606402804512008,7.754123327342098,9.274579022550002,0.0,30.76905298537226,12,12,0.19603167425915935
3,local_cost_only,Local cost function only,26,3,13.313509648391323,3.437733177259805,21.54678526853509,0.0,66.19388352961059,12,12,0.20287478498646005
3,local_cost_only,Local cost function only,27,3,9.045854957169645,6.691964659744772,9.271861562752596,1.4066501725131665e-15,25.028493005989567,12,12,0.18167591926477136
3,local_cost_only,Local cost function only,28,3,6.76754356333529,2.2686131630313913,9.833429091030268,6.296504447323989e-16,32.81012354788855,12,12,0.1348344757480927
3,local_cost_only,Local cost function only,29,3,12.765076269398035,1.2906537371325242,20.115663283469342,3.1033141145213703e-16,54.72508482514332,12,12,0.2019523813469728
3,local_cost_only,Local cost function only,30,3,10.314768916702944,2.9298213276569607,14.37858526490382,0.0,47.79611150097117,12,12,0.18509302291827665
3,local_cost_only,Local cost function only,31,3,6.9602991693159595,3.2571617367191337,8.298474954415083,0.0,26.20044668154464,12,12,0.1437952150482266
3,local_cost_only,Local cost function only,32,3,11.286113524077257,1.4787276976923822,16.772244465277254,0.0,55.70903619294517,12,12,0.19528884342936956
3,local_cost_only,Local cost function only,33,3,10.7717798498352,2.094020129472219,14.880718536346976,0.0,44.35267858426304,12,12,0.19197736192210688
3,local_cost_only,Local cost function only,34,3,12.024099756416,4.667677918996754,18.07603529097565,0.0,50.91799099897531,12,12,0.19861311279215854
