task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),40,3,sum,24.238163037042767,24.92115961618427,16.198653997999486,3.128774582317617,46.487704869928564,6,6,0,,0.4316331237758964
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),41,3,sum,14.137482126733738,12.933467078782279,7.701006010845528,5.353765048949663,27.264325277337164,6,6,0,,0.30581573166362425
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),42,3,sum,23.99287025251913,25.291372659459775,10.537937963812752,6.608586873625675,42.01429073672625,6,6,0,,0.5177331723895157
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),43,3,sum,35.64462450163095,40.33846745687141,19.454426911094647,4.899529980375822,60.91139930865307,6,6,0,,0.7180808458540907
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),44,3,sum,24.019030796980974,22.796621987847633,15.64994904441167,6.994922352542149,44.26923776991449,6,6,0,,0.4027732648819171
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),45,3,sum,27.995852786368953,9.836922918047796,30.64068148943337,2.371365346067199,75.16049933208919,6,6,0,,0.5047703720338529
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),46,3,sum,10.644750889971847,7.461022365537181,8.028476957670318,2.3488732037748514,26.550444081715504,6,6,0,,0.2380527137829199
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),47,3,sum,15.506271849168522,16.139397084523058,12.115560677140442,0.626811788031282,35.72536152633182,6,6,0,,0.3639312195282422
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),48,3,sum,11.445729331242239,9.963989310763917,5.832425474173412,4.293061929844552,22.316236747999678,6,6,0,,0.26842865594940546
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),49,3,sum,2.627602741669937,3.034749566507082,1.5501407157567233,0.13827802730206548,4.37212978036322,6,6,0,,0.058817381500051454
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,0,3,sum,23.313419492515735,25.736963947279534,9.032552576627102,4.730040746890078,32.20262041908617,6,6,0,,0.4382302575099753
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,1,3,sum,25.796987082327874,26.764003977301044,14.16345025504855,10.351247288711027,41.49137103694879,6,6,0,,0.5247577167088179
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,2,3,sum,14.012735287522453,16.8838144171487,5.223914338140254,4.241048064936457,18.13533769661719,6,6,0,,0.23606317874996227
