excluded_initialization_id,converged,n_obs,wallclock_s,E:L_estimate,E:L_se,E:L_p,E:R_estimate,E:R_se,E:R_p,L:R:depth_z_estimate,L:R:depth_z_se,L:R:depth_z_p
11,True,99848,34.01095652580261,0.029281924480603967,0.007355054736352498,6.85689859734051e-05,-0.0008689995540620708,0.007369321971277919,0.9061300668852179,-0.007863560373591373,0.005418469970149944,0.1467099591339931
12,True,99851,40.28271150588989,0.027174923788235605,0.0073592971132965795,0.00022197499802789622,-0.000412610936640937,0.007373572123856354,0.9553752023509312,-0.010657960992349504,0.005421466359507049,0.04931228831683643
13,True,99847,45.159889221191406,0.027173405384364326,0.007337220142589816,0.00021264397141718128,-3.2270913204711206e-05,0.007351299899201302,0.9964974384034828,-0.009079276762734444,0.005404753622430338,0.09298285330362144
14,True,99883,47.6522741317749,0.030318385200308703,0.007340476027334291,3.6228649188396744e-05,0.0016881582033033634,0.007353700888291601,0.8184291873212901,-0.008086427812925326,0.005406330296703959,0.13472319027032365
15,True,99843,43.99211382865906,0.021116223389964967,0.0073465778334892325,0.004049320389559519,-0.002006606248021264,0.007360899739520921,0.7851581030955979,-0.009412095097630453,0.005411993446852313,0.08201401306029732
16,True,99847,46.711749792099,0.019761283127433773,0.007343317133002744,0.007122607788564883,-0.0032292252836158774,0.0073573178942688364,0.6607242994847051,-0.008893284723676783,0.0054095351478625426,0.10017586098376507
17,True,99848,150.62540221214294,0.02292215251328564,0.007343362888723776,0.0017994512577026445,0.0009243542250687816,0.007357378711376026,0.9000197858268213,-0.01028849240731517,0.0054093502587460466,0.057173372895589436
18,True,99854,142.882670879364,0.025630894846754224,0.007362796131882755,0.0004992918622324094,-0.0020353081730671227,0.007376861621079124,0.7826215366430687,-0.010075685874293193,0.005423970038315586,0.06322271724729589
19,True,99859,48.31235909461975,0.026889701371719046,0.007367194988067617,0.00026231796959486076,0.0012274650033944562,0.007381238167011949,0.8679245872043819,-0.01075231937716531,0.0054273677564317,0.04757673199335377
20,True,99853,54.86827492713928,0.020334380124193863,0.007358793229443969,0.0057224274260028185,-0.0008660748787268249,0.007372755907719664,0.9064879123489216,-0.010160703126823425,0.005421056539023539,0.06088865921804931
21,True,99843,50.1477484703064,0.02517409107874813,0.007356310948435148,0.0006213760992914708,0.0018808915388630416,0.00737065205599026,0.7985789905720577,-0.009823952041245722,0.005419163798262249,0.0698600572721162
22,True,99843,45.3465142250061,0.020205417264368128,0.007358005186428193,0.006031839171563247,-0.0023015204777445493,0.007372349487259088,0.7549016264565733,-0.00884273481890907,0.005420411777985982,0.10281080608713467
23,True,99847,120.6613221168518,0.023817957556595888,0.0073315683285073135,0.0011593970645615848,0.00390295697229724,0.007345786199528987,0.595197628515254,-0.009287139260910205,0.005401110727427148,0.08552574693427473
