configuration_id,E,L,R,depth,budget,analysis_mode,cost_type,total_requested_shots,total_realized_shots,total_jobs,shifted_jobs,forward_feature_jobs,node_jacobian_jobs,objective_observable_jobs,objective_observable_settings,minimum_shots_per_job,mean_shots_per_job,median_shots_per_job,maximum_shots_per_job,zero_shot_jobs,base_shots,remainder_shots,remainder_policy
1,0,0,0,3,1000,finite_shot_end_to_end,global,1000,1000,26,24,2,16,8,1,38,38.46153846153846,38.0,39,0,38,12,"sorted(block,parameter,shift,basis)"
1,0,0,0,3,2000,finite_shot_conditional,global,2000,2000,24,24,0,16,8,1,83,83.33333333333333,83.0,84,0,83,8,"sorted(block,parameter,shift,basis)"
1,0,0,0,3,2000,finite_shot_end_to_end,global,2000,2000,26,24,2,16,8,1,76,76.92307692307692,77.0,77,0,76,24,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,250,finite_shot_conditional,global,250,250,32,32,0,24,8,1,7,7.8125,8.0,8,0,7,26,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,250,finite_shot_end_to_end,global,250,250,35,32,3,24,8,1,7,7.142857142857143,7.0,8,0,7,5,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,500,finite_shot_conditional,global,500,500,32,32,0,24,8,1,15,15.625,16.0,16,0,15,20,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,500,finite_shot_end_to_end,global,500,500,35,32,3,24,8,1,14,14.285714285714286,14.0,15,0,14,10,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,1000,finite_shot_conditional,global,1000,1000,32,32,0,24,8,1,31,31.25,31.0,32,0,31,8,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,1000,finite_shot_end_to_end,global,1000,1000,35,32,3,24,8,1,28,28.571428571428573,29.0,29,0,28,20,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,2000,finite_shot_conditional,global,2000,2000,32,32,0,24,8,1,62,62.5,62.5,63,0,62,16,"sorted(block,parameter,shift,basis)"
1,0,0,0,4,2000,finite_shot_end_to_end,global,2000,2000,35,32,3,24,8,1,57,57.142857142857146,57.0,58,0,57,5,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,250,finite_shot_conditional,global,250,250,48,48,0,40,8,1,5,5.208333333333333,5.0,6,0,5,10,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,250,finite_shot_end_to_end,global,250,250,53,48,5,40,8,1,4,4.716981132075472,5.0,5,0,4,38,"sorted(block,parameter,shift,basis)"
