depth,budget,best_single_intervention_config,config8_rms_SNR_est,best_single_rms_SNR_est,config8_exceeds_best_single_SNR,config8_final_energy,baseline_final_energy,config8_energy_improves_on_baseline,config8_global_fidelity,baseline_global_fidelity,config8_fidelity_improves_on_baseline,config8_cost_normalized_SNR,best_single_cost_normalized_SNR,cost_normalized_advantage_remains,label,three_way_coefficient,three_way_estimate,three_way_se,three_way_note
3,1000,3,2.4175554821988516,2.1641420693727738,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0024175554821988516,0.0021641420693727736,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
3,2000,3,3.3808741001895672,3.051667239439821,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0016904370500947837,0.0015258336197199105,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
4,250,3,0.7622424476581582,0.739616477014422,True,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0030489697906326326,0.002958465908057688,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
4,500,3,1.1130774235123901,1.086799474542726,True,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0022261548470247803,0.0021735989490854523,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
4,1000,3,1.6105577192680045,1.5543893059022027,True,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0016105577192680044,0.0015543893059022026,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
4,2000,3,2.327919055631207,2.2517584458960287,True,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0011639595278156035,0.0011258792229480144,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
6,250,3,0.4944221505948165,0.5356011275189094,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.001977688602379266,0.0021424045100756376,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
6,500,3,0.7485835286682324,0.7561200210601428,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0014971670573364648,0.0015122400421202855,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
6,1000,3,1.0609677019152772,1.0824717622844204,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0010609677019152773,0.0010824717622844205,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
6,2000,3,1.5816581612166323,1.553346488379717,True,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0007908290806083161,0.0007766732441898585,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
