dataset,configuration_id,E,L,R,depth,metric,n,mean,median,sd,q1,q3,iqr,minimum,maximum,bootstrap_median,bootstrap_ci_lo,bootstrap_ci_hi
independent_seed,5,1,1,0,2,prepared_state_fidelity,50,0.0490429542944434,0.01188863352708035,0.09223048429972898,0.00393412927601701,0.03914586366917972,0.03521173439316271,4.830703656729865e-06,0.4371258698573501,0.04834684423957927,0.026217475104298938,0.07736891667291873
independent_seed,5,1,1,0,3,normalized_prepared_state_energy,50,0.5098353372004639,0.5035913870011132,0.16256730544909476,0.3990253891966498,0.6150855955904626,0.2160602063938128,0.19773263409267808,0.8885180424290369,0.511009689611335,0.4654579641990094,0.5565720424421468
independent_seed,5,1,1,0,3,prepared_state_fidelity,50,0.03806636974474367,0.009311380923378125,0.056682583068238354,0.00197222684662998,0.06355872378071277,0.06158649693408279,4.6842294302620544e-08,0.24427199700758914,0.03732846139599687,0.023360966427430244,0.05444752232983761
independent_seed,5,1,1,0,4,normalized_prepared_state_energy,50,0.5127603105292315,0.5381786313366126,0.15536013613809224,0.4066624181231845,0.6209884388369544,0.21432602071376994,0.18293563843956548,0.8338551047677891,0.5141154446027576,0.4713918815581462,0.5543533049261635
independent_seed,5,1,1,0,4,prepared_state_fidelity,50,0.06412711142927788,0.017454323776276204,0.10961452881038342,0.004699503083337992,0.06760581950619785,0.06290631642285985,2.166942304688176e-05,0.506566715239427,0.06303470143492602,0.037512912310997217,0.09637415839899426
independent_seed,5,1,1,0,6,normalized_prepared_state_energy,50,0.49149314007890493,0.5082914085619736,0.12904884418868698,0.4085236493187267,0.5694736041744761,0.16094995485574942,0.20772966679858318,0.7162967994834907,0.4913388150941399,0.4563794605557108,0.5275424437212548
independent_seed,5,1,1,0,6,prepared_state_fidelity,50,0.06040805756021538,0.022771260625503845,0.0792553310851412,0.007442144585605883,0.08435747228008375,0.07691532769447787,3.537075906183023e-08,0.3040415389479408,0.05977731492947576,0.040321676466366536,0.08248239815814305
independent_seed,6,1,0,1,1,normalized_prepared_state_energy,50,0.48365098645003635,0.4900901650913806,0.18313920793480062,0.3418834505943512,0.6056108694345039,0.2637274188401527,0.1446942418693387,0.8817956683827394,0.4834190731699922,0.4350268359251867,0.5323907162436112
independent_seed,6,1,0,1,1,prepared_state_fidelity,50,0.06380836766026202,0.020814332676343444,0.10184404955378373,0.0059101067535432435,0.055577032687163935,0.049666925933620695,2.410276187406362e-07,0.38992671860219325,0.06327029877987553,0.03803343540975389,0.09206601799481903
independent_seed,6,1,0,1,2,normalized_prepared_state_energy,50,0.5038799998508169,0.49220608425188905,0.15013037330346343,0.409424396663707,0.606636076885054,0.19721168022134705,0.2023132999529696,0.896907455370457,0.5027036612247037,0.46365962042177444,0.5441134480276419
independent_seed,6,1,0,1,2,prepared_state_fidelity,50,0.0490429542944434,0.01188863352708035,0.09223048429972898,0.00393412927601701,0.03914586366917972,0.03521173439316271,4.830703656729865e-06,0.4371258698573501,0.04834684423957927,0.026217475104298938,0.07736891667291873
independent_seed,6,1,0,1,3,normalized_prepared_state_energy,50,0.48678181623433403,0.4474165831753926,0.18455715541464754,0.3459703968399392,0.654575665924862,0.30860526908492286,0.10033498913591628,0.8177979244199526,0.4878176175702713,0.43654557222545404,0.5384880678034151
independent_seed,6,1,0,1,3,prepared_state_fidelity,50,0.05841742984938735,0.01564724607496938,0.09476643005302207,0.0024722323268365843,0.06527966457360738,0.0628074322467708,9.402061346077175e-06,0.3788672376511781,0.05730950854840343,0.03363751649870307,0.08713620181302618
independent_seed,6,1,0,1,4,normalized_prepared_state_energy,50,0.5257250362304574,0.4864299081069198,0.14120611827376753,0.42869743365627555,0.6263762153902749,0.19767878173399933,0.17634042384476162,0.8093525569041589,0.5266574526545875,0.4890998143651455,0.5626732821620711
independent_seed,6,1,0,1,4,prepared_state_fidelity,50,0.05283484575288847,0.012736341375155719,0.11105788131369083,0.003514765355919529,0.032861000114143404,0.029346234758223875,1.5168626543035528e-06,0.5454219081859785,0.05166265838688396,0.026786170139345068,0.08492728215201213
independent_seed,6,1,0,1,6,normalized_prepared_state_energy,50,0.4660626208288766,0.4542799645807815,0.1452242076922979,0.3642700202525416,0.5833711132848461,0.21910109303230452,0.12419850561197082,0.74940326644861,0.46628176044126,0.4259021888700498,0.5069339512019232
independent_seed,6,1,0,1,6,prepared_state_fidelity,50,0.06971769356343402,0.025839354301807577,0.09675805359850223,0.0063975235524642154,0.1007340089183606,0.09433648536589638,4.704925278733867e-05,0.4176089459196953,0.06926494898267024,0.04549873310002244,0.09781742180252896
independent_seed,7,0,1,1,1,normalized_prepared_state_energy,50,0.48502404235416585,0.4736545027667587,0.1638961379422696,0.3631158252910557,0.598181756540028,0.23506593124897235,0.10353968224816737,0.9145671384309759,0.484069506815453,0.43936280631888086,0.5298963804462608
independent_seed,7,0,1,1,1,prepared_state_fidelity,50,0.04684402591524315,0.011961765267890142,0.08997925835813878,0.005049391286680855,0.03415165517137219,0.029102263884691337,1.7582719730738893e-06,0.4218669130084423,0.045438586038819756,0.024592656521368512,0.07231493877276964
independent_seed,7,0,1,1,2,normalized_prepared_state_energy,50,0.5213527216569093,0.5278680790568644,0.1603050447298152,0.4074829680920339,0.6491741580845958,0.2416911899925619,0.2154566484702327,0.8369840120883104,0.522102903501475,0.47742888390527755,0.5651200018665833
independent_seed,7,0,1,1,2,prepared_state_fidelity,50,0.06346758783117996,0.020138223523362028,0.0971725829400142,0.003216197541648609,0.08772105596419785,0.08450485842254925,7.006766521121853e-10,0.41016992470338176,0.06202056322327583,0.03895584539360801,0.09201360465377402
independent_seed,7,0,1,1,3,normalized_prepared_state_energy,50,0.5537071832731149,0.5502594740384839,0.15189606699543973,0.4512685776295603,0.6454936906718198,0.19422511304225953,0.08769395660433092,0.8957209350309546,0.5541820631270851,0.5114969067497056,0.5956192983804778
independent_seed,7,0,1,1,3,prepared_state_fidelity,50,0.032170060809081295,0.009713063444061459,0.05254371064794081,0.000839434345161607,0.030306066637311044,0.029466632292149436,1.2352665160653317e-08,0.2116620928065441,0.031661759210089874,0.01882922639635977,0.047435985577189865
independent_seed,7,0,1,1,4,normalized_prepared_state_energy,50,0.4560893153289072,0.440782519964546,0.17028624318860366,0.3662877932388797,0.5788063852759142,0.2125185920370345,0.09672262679850206,0.7778200991858273,0.4554670151482199,0.40912384069041485,0.5019082706526692
