excluded_initialization_id,status,ER_average,ER_average_se,ER_average_p,ER_L0,ER_L0_se,ER_L1,ER_L1_se
22,completed,-0.01168981440293598,0.005199427367561267,0.024557779371063092,-0.0023015205089354698,0.007372349520967513,-0.021078108296936487,0.007333801356927417
23,completed,-0.008561561375033461,0.005165049030451503,0.09739916419227859,0.003908833751939523,0.007323454452859215,-0.021031956502006448,0.007285460920543641
24,completed,-0.010074928590647314,0.005196776549153069,0.05253933472545982,0.0019029658897274683,0.007368064973142479,-0.022052823071022097,0.007330591010202385
25,completed,-0.009097155759990684,0.00520175194537064,0.08031456244492088,0.00321015639124321,0.007375607245119624,-0.02140446791122458,0.007337118710393603
26,completed,-0.010178708014871736,0.0052032517040687025,0.05043917635249646,0.0015262765760399762,0.007377733000430701,-0.021883692605783447,0.007339234902762771
27,completed,-0.011270471208389213,0.005194920567983579,0.030043415396837764,-0.00115324422450931,0.007365959362697201,-0.021387698192269114,0.007327444404274166
28,completed,-0.014195292641659554,0.00520519853805137,0.006388639191565794,-0.002551031767229041,0.007379593783774522,-0.025839553516090068,0.007342885186941502
29,completed,-0.010516773700815728,0.005197906563091815,0.04304521327070444,-3.1105096411059713e-06,0.0073695755525188065,-0.02103043689199035,0.0073322770494743976
30,completed,-0.011146692459682509,0.005198242834696407,0.03200731106626854,-0.0014836427959383468,0.007370431821916479,-0.02080974212342667,0.007332369946502365
31,completed,-0.011835808713304715,0.005198155334369238,0.022790717584499357,-0.0025416864655084057,0.007370319619459923,-0.021129930961101023,0.007332234599897197
32,completed,-0.01359958881570485,0.005190030038199984,0.008784484447863332,-0.004220797184406417,0.0073581982698781925,-0.02297838044700328,0.007321377289201402
33,completed,-0.013026195283368977,0.00518890088583032,0.012059588811219723,-0.0027037670708126727,0.007356110621352423,-0.02334862349592528,0.007320273638212493
34,completed,-0.010922291993318586,0.005198497256040365,0.0356367574465798,-0.002172804069814842,0.0073709155494737786,-0.01967177991682233,0.007332605188250794
35,completed,-0.014013632232164282,0.005197936481795617,0.0070177850013385884,-0.0020587045429040825,0.007369251079445744,-0.02596855992142448,0.00733268799303604
36,completed,-0.009798431702276575,0.005191608847309411,0.05911200347441683,0.0017723593364669214,0.007360317679442534,-0.021369222741020072,0.00732372400842161
37,completed,-0.012107569273869113,0.005190195740213656,0.019659852163885726,-0.00343673324981735,0.007358844978846065,-0.020778405297920875,0.007321197160590608
38,completed,-0.01291137159966845,0.005199571850320117,0.013022238758343085,-0.002055628740425825,0.0073720547924633105,-0.023767114458911075,0.007334507334748818
39,completed,-0.012805661514226293,0.005191893845014233,0.01364513434340565,0.00013950069354449167,0.007360914723365954,-0.02575082372199708,0.007323932087814649
40,completed,-0.011420234804105948,0.005194434747722931,0.027909794582767083,-0.000926718815598495,0.007365038697868487,-0.0219137507926134,0.007326992177715575
41,completed,-0.013788092855554348,0.00520154928005504,0.00803093289081315,-0.004232444714235194,0.007375164155277349,-0.023343740996873502,0.0073369893917107805
42,completed,-0.011424198797397868,0.005183494512186802,0.027527371238694493,-0.0019781151517961563,0.007349004012933971,-0.02087028244299958,0.007312085984817409
43,completed,-0.013324918109433703,0.005194097952805809,0.010305811119934507,-0.0010577144192153339,0.007364676206163394,-0.025592121799652073,0.007326401473556902
44,completed,-0.011270736132817207,0.0052062729944340295,0.030400115434954675,0.00021361775364702774,0.007381707823252765,-0.022755090019281443,0.007343807158580706
45,completed,-0.012524567054933409,0.005196318725644688,0.015940416631243338,0.0008562372667202146,0.0073674058704843995,-0.025905371376587032,0.007329955247714312
46,completed,-0.011546600317300428,0.00519616645506826,0.026273962914548966,-0.0009962277150375523,0.0073677259830848335,-0.022096972919563303,0.0073292016723026
47,completed,-0.012893558699180104,0.0051998295941511315,0.013152549871210693,-0.002882614669738385,0.007372729301461434,-0.022904502728621823,0.007334560237683763
48,completed,-0.013492189125671968,0.005198595686854997,0.009449390861180275,-0.0013067128487132887,0.007370230150084568,-0.025677665402630646,0.007333573207948079
49,completed,-0.010495453215560216,0.005199257929277764,0.043524186466633676,-0.0021270167877829125,0.007371886014246731,-0.018863889643337517,0.00733378678811869
